"Number of months",612
"Number of nutrients",1
"Group name",Nutrients
"Month 464",0.809
"Month 465",0.85
"Month 466",0.831
"Month 467",0.79
"Month 468",0.773
"Month 469",0.748
"Month 470",0.734
"Month 471",0.715
"Month 472",0.69
"Month 473",0.657
"Month 474",0.638
"Month 475",0.64
"Month 476",0.652
"Month 477",0.651
"Month 478",0.644
"Month 479",0.612
"Month 480",0.581
"Month 481",0.56
"Month 482",0.544
"Month 483",0.536
"Month 484",0.534
"Month 485",0.566
"Month 486",0.6
"Month 487",0.805
"Month 488",0.893
"Month 489",0.893
"Month 490",0.825
"Month 491",0.762
"Month 492",0.714
"Month 493",0.676
"Month 494",0.66
"Month 495",0.651
"Month 496",0.641
"Month 497",0.624
"Month 498",0.681
"Month 499",0.705
"Month 500",0.74
"Month 501",0.771
"Month 502",0.77
"Month 503",0.706
"Month 504",0.665
"Month 505",0.649
"Month 506",0.642
"Month 507",0.662
"Month 508",0.683
"Month 509",0.663
"Month 510",0.644
"Month 511",0.636
"Month 512",0.637
"Month 513",0.709
"Month 514",0.704
"Month 515",0.668
"Month 516",0.637
"Month 517",0.626
"Month 518",0.609
"Month 519",0.594
"Month 520",0.582
"Month 521",0.568
"Month 522",0.596
"Month 523",0.65
"Month 524",0.767
"Month 525",0.984
"Month 526",1.038
"Month 527",1.015
"Month 528",0.978
"Month 529",0.932
"Month 530",0.913
"Month 531",0.886
"Month 532",0.86
"Month 533",0.84
"Month 534",0.815
"Month 535",0.833
"Month 536",0.946
"Month 537",1.01
"Month 538",1.03
"Month 539",1.028
"Month 540",0.973
"Month 541",0.978
"Month 542",0.958
"Month 543",0.944
"Month 544",0.946
"Month 545",0.916
"Month 546",0.866
"Month 547",0.832
"Month 548",0.855
"Month 549",0.829
"Month 550",0.783
"Month 551",0.734
"Month 552",0.701
"Month 553",0.669
"Month 554",0.645
"Month 555",0.627
"Month 556",0.615
"Month 557",0.603
"Month 558",0.581
"Month 559",0.571
"Month 560",0.608
"Month 561",0.638
"Month 562",0.662
"Month 563",0.742
"Month 564",0.873
"Month 565",0.949
"Month 566",1.027
"Month 567",1.11
"Month 568",1.122
"Month 569",1.047
"Month 570",0.958
"Month 571",0.889
"Month 572",0.872
"Month 573",0.941
"Month 574",0.935
"Month 575",0.878
"Month 576",0.846
"Month 577",0.823
"Month 578",0.704
"Month 579",0.769
"Month 580",0.75
"Month 581",0.702
"Month 582",0.666
"Month 583",0.708
"Month 584",0.71
"Month 585",0.679
"Month 586",0.663
"Month 587",0.626
"Month 588",0.593
"Month 589",0.573
"Month 590",0.561
"Month 591",0.541
"Month 592",0.529
"Month 593",0.505
"Month 594",0.488
"Month 595",0.478
"Month 596",0.48
"Month 597",0.502
"Month 598",0.488
"Month 599",0.46
"Month 600",0.442
"Month 601",1
"Month 602",1
"Month 603",1
"Month 604",1
"Month 605",1
"Month 606",1
"Month 607",1
"Month 608",1
"Month 609",1
"Month 610",1
"Month 611",1
"Month 612",1
