"Number of months",480
"Number of groups",22
"Group number",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
"Forcing type",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"Group name",Dolphins,Bonito,Bluefish,"A. Mackerel",Whiting,Turbot,"R. Mullet",Dogfish,"H. Mackerel",Shad,Sprat,"Anchovy 0-0+","Anchovy 1-1+",Aurelia,Beroe,Mnemiopsis,Pleurobrachia,Noctiluca,Zooplankton,Phytoplankton,POM,Detritus
"Month 79",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.1333,0.537,0.03866,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 80",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.1333,0.537,0.03866,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 81",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.1333,0.537,0.03866,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 82",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.1333,0.537,0.03866,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 83",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.1333,0.537,0.03866,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 84",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.1333,0.537,0.03866,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 85",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.40226,0.537,0.03158,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 86",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.40226,0.537,0.03158,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 87",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.40226,0.537,0.03158,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 88",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.40226,0.537,0.03158,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 89",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.40226,0.537,0.03158,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 90",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.40226,0.537,0.03158,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 91",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.40226,0.537,0.03158,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 92",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.40226,0.537,0.03158,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 93",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.40226,0.537,0.03158,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 94",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.40226,0.537,0.03158,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 95",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.40226,0.537,0.03158,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 96",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.40226,0.537,0.03158,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 97",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.4155,0.537,0.08768,-999,0.2308,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 98",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.4155,0.537,0.08768,-999,0.2308,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 99",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.4155,0.537,0.08768,-999,0.2308,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 100",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.4155,0.537,0.08768,-999,0.2308,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 101",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.4155,0.537,0.08768,-999,0.2308,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 102",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.4155,0.537,0.08768,-999,0.2308,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 103",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.4155,0.537,0.08768,-999,0.2308,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 104",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.4155,0.537,0.08768,-999,0.2308,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 105",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.4155,0.537,0.08768,-999,0.2308,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 106",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.4155,0.537,0.08768,-999,0.2308,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 107",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.4155,0.537,0.08768,-999,0.2308,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 108",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.4155,0.537,0.08768,-999,0.2308,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 109",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.5186,0.537,0.06538,-999,0.2217,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 110",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.5186,0.537,0.06538,-999,0.2217,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 111",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.5186,0.537,0.06538,-999,0.2217,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 112",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.5186,0.537,0.06538,-999,0.2217,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 113",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.5186,0.537,0.06538,-999,0.2217,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 114",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.5186,0.537,0.06538,-999,0.2217,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 115",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.5186,0.537,0.06538,-999,0.2217,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 116",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.5186,0.537,0.06538,-999,0.2217,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 117",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.5186,0.537,0.06538,-999,0.2217,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 118",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.5186,0.537,0.06538,-999,0.2217,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 119",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.5186,0.537,0.06538,-999,0.2217,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 120",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.5186,0.537,0.06538,-999,0.2217,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 121",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.93666,0.537,0.04342,-999,0.2987,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 122",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.93666,0.537,0.04342,-999,0.2987,-999,-999,-999,-999,-999,-999,-999,-999,-999
