X,Y,BOOL_ECO,ID
2773.1437988281,3792.8395996094,1,323
2773.1437988281,3792.3395996094,1,324
2773.1437988281,3791.8395996094,1,325
2773.1437988281,3791.3395996094,1,326
2773.1437988281,3790.8395996094,0,327
2773.1437988281,3790.3395996094,0,328
2773.1437988281,3789.8395996094,0,329
2773.1437988281,3789.3395996094,0,330
2773.1437988281,3788.8395996094,0,331
2773.1437988281,3788.3395996094,1,332
2773.1437988281,3787.8395996094,1,333
2773.1437988281,3787.3395996094,1,334
2773.1437988281,3786.8395996094,1,335
2773.1437988281,3786.3395996094,1,336
2773.1437988281,3785.8395996094,1,337
2773.1437988281,3785.3395996094,1,338
2773.1437988281,3784.8395996094,1,339
2773.1437988281,3784.3395996094,0,340
2773.6437988281,3793.8395996094,0,341
2773.6437988281,3793.3395996094,1,342
2773.6437988281,3792.8395996094,1,343
2773.6437988281,3792.3395996094,1,344
2773.6437988281,3791.8395996094,1,345
2773.6437988281,3791.3395996094,1,346
2773.6437988281,3790.8395996094,0,347
2773.6437988281,3790.3395996094,0,348
2773.6437988281,3789.8395996094,0,349
2773.6437988281,3789.3395996094,0,350
2773.6437988281,3788.8395996094,0,351
2773.6437988281,3788.3395996094,1,352
2773.6437988281,3787.8395996094,1,353
2773.6437988281,3787.3395996094,1,354
2773.6437988281,3786.8395996094,1,355
2773.6437988281,3786.3395996094,1,356
2773.6437988281,3785.8395996094,1,357
2773.6437988281,3785.3395996094,1,358
2773.6437988281,3784.8395996094,1,359
2773.6437988281,3784.3395996094,0,360
2774.1437988281,3793.8395996094,0,361
2774.1437988281,3793.3395996094,1,362
2774.1437988281,3792.8395996094,1,363
2774.1437988281,3792.3395996094,1,364
2774.1437988281,3791.8395996094,1,365
2774.1437988281,3791.3395996094,1,366
2774.1437988281,3790.8395996094,0,367
2774.1437988281,3790.3395996094,0,368
2774.1437988281,3789.8395996094,0,369
2774.1437988281,3789.3395996094,0,370
2774.1437988281,3788.8395996094,0,371
2774.1437988281,3788.3395996094,0,372
2774.1437988281,3787.8395996094,0,373
2774.1437988281,3787.3395996094,0,374
2774.1437988281,3786.8395996094,0,375
2774.1437988281,3786.3395996094,0,376
2774.1437988281,3785.8395996094,0,377
