"Number of groups incl. import",53
"Number of predators",48
Prey/Pred,"0-12 Snook","3-12 Snook","12-48 Snook","48-90 Snook","90+ Snook","0-3 Red Drum","3-8 Red Drum","8-18 Red Drum","18-36 Red Drum","36+ Red Drum","0-3 Sea Trout","3-18 Sea Trout","18+ Sea Trout","0-3 Sand Trout","3-12 Sand Trout","12+ Sand Trout","0-6 Mullet","6-18 Mullet","18+ Mullet","Mackrel 0-3","Mackrel 3+","Ladyfish 0-10","Ladyfish 10+",Jacks,"Bay Anchovy","Pin Fish",Spot,"Silver Perch","Scaled Sardine",Mojarra,"Threadfin Herring",Manhaden,"Menidia (silverside)",Catfish,Bumper,"Caridan Shrimp",Shrimp,"Stone Crab","Blue Crab",Cyprinodontids,Poecilids,Pigfish,Gobies,Rays,"Benthic Invertebrates","Macro Zooplankton","Micro Zoolplankton",Infauna
Bumper,0,0,0,0,0.00368931959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159471817,0,0,0.0761076137,0,0,0,0,0,0,0,0,0,0.0129987,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Caridan Shrimp",0,0.01,0.204179585,0.03070307,0,0,0.08,0.193800017,0.169917,0.09759024,0.1998002,0.408300072,0.10001,0.0019998,0.0250025019,0.122887708,0,0,0,0.162770763,0,0.004008222,0.0270270258,0.00400040066,0.005,0.2953295,0.04,0.177182287,0,0,0,0,0,0.138086185,0,0,0,0,0,0,0,0.35453546,0.2,0,0,0,0,0
Shrimp,0,0,0.10308969,0.199519932,0.00368931959,0,0.054,0.275700033,0.247124732,0.163283661,0,0.318700016,0.199219912,0,0.0250025019,0.122887708,0,0,0,0.00203731516,0.0595226027,0,0.00703722565,0.00400040066,0,0.00100009993,0,0.0019998,0,0,0,0,0,0.06109389,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0
"Stone Crab",0,0,0,0,0,0,0,0,0,0,0,0,0.0010001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138086185,0,0,0,0.002,0.005,0,0,0,0,0,0,0,0,0
"Blue Crab",0,0,0,0,0.00368931959,0,0,0.06490001,0.0110011008,0.00609939,0,0,0.0010001,0,0,0.0019998,0,0,0,0,0.00264093443,0,0,0,0,0,0,0,0,0,0,0,0,0.279272079,0,0,0,0.003,0.001,0,0,0,0,0,0,0,0,0
Cyprinodontids,0,0.15,0.149985,0.09910991,0,0,0,0.0500000045,0.08000801,0,0,0.04980001,0.050005,0,0,0,0,0,0,0,0,0.149948612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poecilids,0,0.05,0.049995,0.04960496,0,0,0,0.0100000007,0.0500050038,0,0,0.0100000007,0,0,0,0,0,0,0,0,0,0.019013362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pigfish,0,0,0.049995,0.050005,0,0,0,0,0.0500050038,0,0,0,0.050005,0,0,0,0,0,0,0,0,0,0.0299847014,0.0300030019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gobies,0,0,0,0,0,0,0,0,0.0200020019,0.019998,0,0.0200000014,0.050005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rays,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benthic Invertebrates",0.4,0.399,0.158384159,0,0,0.120120116,0.365,0.00600000052,0.00600060076,0.00329967,0.1998002,0,0,0.176182374,0.497549772,0.0259974,0,0.435049981,0.0209812112,0.162770763,0,0.142034948,0.444977045,0.00400040066,0.082,0.236223608,0.382,0.177182287,0.363636345,0.8,0,0,0.115,0.16718328,0.122509956,0.124,0.322,0.442,0.58,0.5,0.6,0.05130513,0.8,0,0.01329867,0,0,0
"Macro Zooplankton",0.399999946,0.093,0.05109489,0,0,0.4814815,0.487,0,0,0,0.3996004,0.0139000015,0,0.469453067,0,0,0.5,0.216975972,0.00198329869,0.484452069,0,0.3,0.221009687,0,0.53,0.0180017967,0.142,0.353364646,0.454545438,0.15,0.856,0.4,0.518,0,0.5976095,0.001,0.065,0,0.027,0,0,0,0,0,0.02739726,0,0,0
"Micro Zoolplankton",0.09999999,0.069,0,0,0,0.361361355,0,0,0,0,0.1998002,0,0,0.352364749,0,0,0.4000213,0.216975972,0.00198329869,0.008042033,0,0.283967137,0,0,0.082,0.00300029968,0.08,0.177182287,0.181818172,0.05,0.143,0.3,0.241,0,0.199203178,0.051,0.065,0,0,0,0,0,0,0,0.01329867,0.091,0.001,0
Infauna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Attached Microalgae",0,0,0,0,0,0.0120120123,0,0,0,0,0,0,0,0,0,0,0,0.109037004,0.55,0,0,0,0,0,0,0.1481148,0.118,0,0,0,0,0,0,0,0.0507968068,0.206,0.011,0,0,0.5,0.4,0,0,0,0.132386759,0,0.01,0
"Sea Grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13903968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009999,0,0,0
Phytoplankton,0,0,0,0,0,0.001001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00300029968,0.003,0,0,0,0.001,0.2,0.011,0,0,0,0,0,0,0,0,0,0,0,0.270872921,0.545,0.989,1
Detritus,0.09999999,0.198,0,0,0,0.0240240246,0.001,0,0,0,0,0,0,0,0,0,0.0999786854,0.0219611283,0.28601253,0,0,0,0,0,0.301,0.2953295,0.235,0,0,0,0,0.1,0.115,0,0.0298804753,0.618,0.537,0.553,0.386,0,0,0,0,0,0.541745842,0.364,0,0
Import,0,0,0,0,0,0,0,0,0,0.456954271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
