"Number of months",120
"Number of groups",37
"Group number",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
"Forcing type",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"Group name","Baleen whales","Toothed whales",Seals,Birds,"Sharks, large","Sharks, small medium","Rays, large","Rays, small medium","Pelagics, large","Pelagics, medium","Pelagics, small, carniv.","Pelagics, small, herbiv.","Benthopelagics, large","Benthopelagics, small medium","Demersals, large","Demersals, medium","Demersals, small","Reeffish, large","Reeffish, medium","Flatfish, large","Flatfish, small medium","Reeffish, small",Bathypelagics,Bathydemersals,Jellyfish,Cephalopods,Shrimps,"Lobsters, crabs",Macrobenthos,Meiobenthos,Corals,"Softcorals, sponges, etc",Krill,"Zooplankton, other",Phytoplankton,"Benthic plants",Detritus
"Month 35",-999,-999,-999,-999,0.27,0.36,0.324,0.18,0.3375,0.9,0.054,0.108,0.675,1.35,0.702,1.08,-999,0.54,1.08,0.675,1.35,-999,-999,-999,-999,0.54,0.27,2.16,0.0135,-999,-999,-999,-999,-999,-999,-999,-999
"Month 36",-999,-999,-999,-999,0.27,0.36,0.324,0.18,0.3375,0.9,0.054,0.108,0.675,1.35,0.702,1.08,-999,0.54,1.08,0.675,1.35,-999,-999,-999,-999,0.54,0.27,2.16,0.0135,-999,-999,-999,-999,-999,-999,-999,-999
"Month 37",-999,-999,-999,-999,0.2846,0.3794667,0.34152,0.1897333,0.35575,0.9486666,0.05692,0.11384,0.7115,1.423,0.73996,1.1384,-999,0.5692,1.1384,0.7115,1.423,-999,-999,-999,-999,0.5692,0.2846,2.2768,0.01423,-999,-999,-999,-999,-999,-999,-999,-999
"Month 38",-999,-999,-999,-999,0.2846,0.3794667,0.34152,0.1897333,0.35575,0.9486666,0.05692,0.11384,0.7115,1.423,0.73996,1.1384,-999,0.5692,1.1384,0.7115,1.423,-999,-999,-999,-999,0.5692,0.2846,2.2768,0.01423,-999,-999,-999,-999,-999,-999,-999,-999
"Month 39",-999,-999,-999,-999,0.2846,0.3794667,0.34152,0.1897333,0.35575,0.9486666,0.05692,0.11384,0.7115,1.423,0.73996,1.1384,-999,0.5692,1.1384,0.7115,1.423,-999,-999,-999,-999,0.5692,0.2846,2.2768,0.01423,-999,-999,-999,-999,-999,-999,-999,-999
"Month 40",-999,-999,-999,-999,0.2846,0.3794667,0.34152,0.1897333,0.35575,0.9486666,0.05692,0.11384,0.7115,1.423,0.73996,1.1384,-999,0.5692,1.1384,0.7115,1.423,-999,-999,-999,-999,0.5692,0.2846,2.2768,0.01423,-999,-999,-999,-999,-999,-999,-999,-999
"Month 41",-999,-999,-999,-999,0.2846,0.3794667,0.34152,0.1897333,0.35575,0.9486666,0.05692,0.11384,0.7115,1.423,0.73996,1.1384,-999,0.5692,1.1384,0.7115,1.423,-999,-999,-999,-999,0.5692,0.2846,2.2768,0.01423,-999,-999,-999,-999,-999,-999,-999,-999
"Month 42",-999,-999,-999,-999,0.292,0.3893333,0.3504,0.1946667,0.365,0.9733333,0.0584,0.1168,0.73,1.46,0.7592,1.168,-999,0.584,1.168,0.73,1.46,-999,-999,-999,-999,0.5840001,0.292,2.336,0.0146,-999,-999,-999,-999,-999,-999,-999,-999
"Month 43",-999,-999,-999,-999,0.292,0.3893333,0.3504,0.1946667,0.365,0.9733333,0.0584,0.1168,0.73,1.46,0.7592,1.168,-999,0.584,1.168,0.73,1.46,-999,-999,-999,-999,0.5840001,0.292,2.336,0.0146,-999,-999,-999,-999,-999,-999,-999,-999
"Month 44",-999,-999,-999,-999,0.292,0.3893333,0.3504,0.1946667,0.365,0.9733333,0.0584,0.1168,0.73,1.46,0.7592,1.168,-999,0.584,1.168,0.73,1.46,-999,-999,-999,-999,0.5840001,0.292,2.336,0.0146,-999,-999,-999,-999,-999,-999,-999,-999
"Month 45",-999,-999,-999,-999,0.292,0.3893333,0.3504,0.1946667,0.365,0.9733333,0.0584,0.1168,0.73,1.46,0.7592,1.168,-999,0.584,1.168,0.73,1.46,-999,-999,-999,-999,0.5840001,0.292,2.336,0.0146,-999,-999,-999,-999,-999,-999,-999,-999
"Month 46",-999,-999,-999,-999,0.292,0.3893333,0.3504,0.1946667,0.365,0.9733333,0.0584,0.1168,0.73,1.46,0.7592,1.168,-999,0.584,1.168,0.73,1.46,-999,-999,-999,-999,0.5840001,0.292,2.336,0.0146,-999,-999,-999,-999,-999,-999,-999,-999
"Month 47",-999,-999,-999,-999,0.2993,0.3990667,0.35916,0.1995333,0.374125,0.9976666,0.05986,0.11972,0.74825,1.4965,0.77818,1.1972,-999,0.5986,1.1972,0.74825,1.4965,-999,-999,-999,-999,0.5986,0.2993,2.3944,0.014965,-999,-999,-999,-999,-999,-999,-999,-999
"Month 48",-999,-999,-999,-999,0.2993,0.3990667,0.35916,0.1995333,0.374125,0.9976666,0.05986,0.11972,0.74825,1.4965,0.77818,1.1972,-999,0.5986,1.1972,0.74825,1.4965,-999,-999,-999,-999,0.5986,0.2993,2.3944,0.014965,-999,-999,-999,-999,-999,-999,-999,-999
"Month 49",-999,-999,-999,-999,0.2993,0.3990667,0.35916,0.1995333,0.374125,0.9976666,0.05986,0.11972,0.74825,1.4965,0.77818,1.1972,-999,0.5986,1.1972,0.74825,1.4965,-999,-999,-999,-999,0.5986,0.2993,2.3944,0.014965,-999,-999,-999,-999,-999,-999,-999,-999
"Month 50",-999,-999,-999,-999,0.2993,0.3990667,0.35916,0.1995333,0.374125,0.9976666,0.05986,0.11972,0.74825,1.4965,0.77818,1.1972,-999,0.5986,1.1972,0.74825,1.4965,-999,-999,-999,-999,0.5986,0.2993,2.3944,0.014965,-999,-999,-999,-999,-999,-999,-999,-999
"Month 51",-999,-999,-999,-999,0.303,0.404,0.3636,0.202,0.37875,1.01,0.0606,0.1212,0.7575,1.515,0.7878,1.212,-999,0.6059999,1.212,0.7575,1.515,-999,-999,-999,-999,0.606,0.303,2.424,0.01515,-999,-999,-999,-999,-999,-999,-999,-999
