EwEVersion,"6.6.15613.0 (compiled 02/10/2018)"
Date,"02/10/2018 09:40:27"
ModelName,"Generic 37"
EcosimScenario,"an example"
TimeSeries,(none)
StartYear,0

Data,Catch

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
30,0,0,0,0,0.02063322,0.08146983,0.02462634,0.04701339,0.09668433,0.5600057,0.2841219,0.2802503,0.07822344,0.1971071,0.2001513,1.027628,0,0.03461223,0.2535602,0.03798111,0.5284404,0,0,0,0,0.2238443,0.5606716,0.4034783,0.1340177,0,0,0,0,0,0,0,0
31,0,0,0,0,0.02036593,0.08062138,0.02432015,0.04678088,0.09504453,0.5423877,0.2867249,0.2829882,0.07598798,0.1867484,0.1944987,0.9938005,0,0.03385583,0.2443746,0.03683473,0.5028321,0,0,0,0,0.2238431,0.5625815,0.387392,0.1334026,0,0,0,0,0,0,0,0
32,0,0,0,0,0.02065543,0.0819824,0.02467319,0.04781817,0.0959909,0.5392395,0.2974753,0.2937956,0.07577081,0.1814025,0.1940449,0.9866479,0,0.03400883,0.2416761,0.0366712,0.4904388,0,0,0,0,0.229999,0.5793523,0.3810065,0.1363478,0,0,0,0,0,0,0,0
33,0,0,0,0,0.02039045,0.08116212,0.02436035,0.04754788,0.09436331,0.5220214,0.3003969,0.2969384,0.07352967,0.1715463,0.1884531,0.9543188,0,0.03325291,0.2327388,0.03553271,0.4655694,0,0,0,0,0.2301457,0.5799784,0.3651413,0.1354651,0,0,0,0,0,0,0,0
34,0,0,0,0,0.02013715,0.08039922,0.02405699,0.04726643,0.09280358,0.5057465,0.3034491,0.3002752,0.07137229,0.1623209,0.1831181,0.9242923,0,0.03252771,0.2243166,0.03444091,0.4420826,0,0,0,0,0.2304884,0.5800346,0.3504036,0.1344658,0,0,0,0,0,0,0,0
35,0,0,0,0,0.01989575,0.07969239,0.02376272,0.04697038,0.09131209,0.4903609,0.3066231,0.3038006,0.06929518,0.1536825,0.1780305,0.896449,0,0.03183213,0.2163765,0.033394,0.4198788,0,0,0,0,0.2310136,0.579479,0.3366663,0.1333565,0,0,0,0,0,0,0,0
36,0,0,0,0,0.01966639,0.07904071,0.0234772,0.04665647,0.08988889,0.4758152,0.3099102,0.3075091,0.06729507,0.1455914,0.1731819,0.8706828,0,0.03116512,0.2088886,0.03239028,0.3988705,0,0,0,0,0.2317087,0.5782873,0.3238231,0.1321457,0,0,0,0,0,0,0,0
37,0,0,0,0,0.02047594,0.08255196,0.02441905,0.04878696,0.09317917,0.4850858,0.3301712,0.3280855,0.06869483,0.1445938,0.1771191,0.8883808,0,0.03209832,0.2117115,0.03302704,0.3970627,0,0,0,0,0.2445611,0.606963,0.3255193,0.1379153,0,0,0,0,0,0,0,0
38,0,0,0,0,0.0202355,0.08185009,0.02410112,0.04837059,0.09168419,0.469552,0.3337899,0.3322338,0.06654399,0.1363261,0.1719604,0.8612835,0,0.03137806,0.2037429,0.03196091,0.3750678,0,0,0,0,0.2450731,0.6038468,0.3108322,0.1364638,0,0,0,0,0,0,0,0
39,0,0,0,0,0.02000858,0.08120953,0.02379278,0.04792789,0.09026369,0.4548841,0.3375146,0.3365765,0.06447764,0.128617,0.1670606,0.8363577,0,0.03068833,0.1962439,0.03094141,0.3543564,0,0,0,0,0.2457592,0.6002252,0.2971334,0.1349489,0,0,0,0,0,0,0,0
40,0,0,0,0,0.0197952,0.08063111,0.02349402,0.04745689,0.08891651,0.4410296,0.3413351,0.3411079,0.06249235,0.121427,0.1624102,0.8135041,0,0.03002796,0.1891839,0.0299667,0.3348438,0,0,0,0,0.2466063,0.5961263,0.284316,0.1333833,0,0,0,0,0,0,0,0
41,0,0,0,0,0.01959534,0.08011617,0.02320487,0.04695614,0.08764132,0.427941,0.3452415,0.3458221,0.06058491,0.1147195,0.1580006,0.7926344,0,0.02939579,0.1825351,0.02903497,0.3164545,0,0,0,0,0.2476026,0.5915907,0.272293,0.1317803,0,0,0,0,0,0,0,0
42,0,0,0,0,0.01990132,0.08167084,0.0235041,0.04761221,0.08861568,0.4255067,0.3582638,0.3597494,0.0601872,0.1109391,0.1575704,0.7918363,0,0.02950299,0.1804112,0.02883182,0.3059567,0,0,0,0,0.2548999,0.6015883,0.2664798,0.1335355,0,0,0,0,0,0,0,0
43,0,0,0,0,0.01970855,0.08118831,0.02320716,0.04701703,0.08736923,0.4126996,0.3623851,0.3648695,0.05828743,0.104604,0.1532065,0.7716481,0,0.0288709,0.1739129,0.02790854,0.2883224,0,0,0,0,0.2559085,0.5965673,0.254418,0.1319868,0,0,0,0,0,0,0,0
44,0,0,0,0,0.01952372,0.08073281,0.02291497,0.04639443,0.08616719,0.400597,0.3665692,0.3701641,0.05645409,0.09864645,0.148968,0.7521355,0,0.02826056,0.1677421,0.02701355,0.2716989,0,0,0,0,0.2570539,0.5924017,0.2431137,0.1306677,0,0,0,0,0,0,0,0
45,0,0,0,0,0.01934711,0.0803091,0.02262852,0.04574878,0.08501013,0.3891509,0.3708004,0.3756199,0.05468743,0.09305868,0.1448764,0.7335271,0,0.02767215,0.1618903,0.02614928,0.2560555,0,0,0,0,0.2583228,0.5889462,0.2324999,0.1295556,0,0,0,0,0,0,0,0
46,0,0,0,0,0.01917878,0.07992078,0.02234848,0.04508515,0.08389769,0.3783199,0.3750657,0.3812272,0.05298626,0.08782355,0.1409383,0.7158999,0,0.02710519,0.1563422,0.0253163,0.2413479,0,0,0,0,0.2597045,0.5860878,0.2225177,0.1286272,0,0,0,0,0,0,0,0
47,0,0,0,0,0.01948226,0.08149394,0.02261068,0.04550081,0.0848352,0.3765061,0.3887946,0.3965611,0.05255251,0.08473569,0.1403603,0.7150066,0,0.02718985,0.1544819,0.0250889,0.2325083,0,0,0,0,0.2674046,0.5979932,0.2173947,0.1310529,0,0,0,0,0,0,0,0
48,0,0,0,0,0.01931473,0.08111143,0.02232195,0.04478288,0.08372068,0.3658376,0.3931676,0.4025117,0.05086227,0.07980092,0.136425,0.6973007,0,0.02661864,0.1490155,0.02426193,0.2185777,0,0,0,0,0.2687277,0.5957379,0.2073696,0.1304061,0,0,0,0,0,0,0,0
49,0,0,0,0,0.01915544,0.08077276,0.02204118,0.04406397,0.08265026,0.3557364,0.3975526,0.4086017,0.04923749,0.07519086,0.1326504,0.6806367,0,0.02606812,0.1438306,0.02346713,0.2055293,0,0,0,0,0.2701588,0.593898,0.1979444,0.1298798,0,0,0,0,0,0,0,0
50,0,0,0,0,0.01900416,0.08047899,0.02176848,0.04334911,0.08162256,0.3461701,0.4019412,0.4148237,0.04767553,0.07088292,0.1290301,0.6649686,0,0.0255372,0.1389076,0.02270328,0.1933061,0,0,0,0,0.2716919,0.5924055,0.1890683,0.1294531,0,0,0,0,0,0,0,0
51,0,0,0,0,0.01908786,0.08118936,0.02176163,0.04316105,0.08160155,0.3409257,0.4113255,0.4263266,0.0467086,0.06757821,0.1270085,0.6574799,0,0.02531857,0.1357204,0.02222357,0.1838191,0,0,0,0,0.2765349,0.5983394,0.1824858,0.1307019,0,0,0,0,0,0,0,0
52,0,0,0,0,0.01894425,0.08095179,0.02149401,0.04244986,0.0806127,0.3319036,0.4157325,0.432823,0.04521303,0.06367373,0.1235412,0.6427282,0,0.02480265,0.1310572,0.02149315,0.1727065,0,0,0,0,0.2781198,0.5972156,0.174088,0.1304171,0,0,0,0,0,0,0,0
53,0,0,0,0,0.01880795,0.08076122,0.02123464,0.04175446,0.07966363,0.3233553,0.4201234,0.4394324,0.0437756,0.06002604,0.1202172,0.628888,0,0.02430409,0.1266181,0.02079141,0.162306,0,0,0,0,0.2797996,0.5963104,0.1661705,0.1301846,0,0,0,0,0,0,0,0
54,0,0,0,0,0.01889492,0.0815428,0.02122506,0.04155694,0.07965876,0.3186816,0.4295101,0.4513954,0.04286534,0.05720367,0.1183284,0.6224886,0,0.02409046,0.1236929,0.02034088,0.1541508,0,0,0,0,0.284748,0.6024928,0.1602013,0.1315355,0,0,0,0,0,0,0,0
55,0,0,0,0,0.01876394,0.08141232,0.02097142,0.04088366,0.07874563,0.3106112,0.4338776,0.4582376,0.04149096,0.05390222,0.1151492,0.6094904,0,0.02359948,0.1194271,0.01967091,0.1447219,0,0,0,0,0.2864657,0.6018443,0.1527161,0.1313716,0,0,0,0,0,0,0,0
56,0,0,0,0,0.01874526,0.0817899,0.02084379,0.04046392,0.07831193,0.3045881,0.4407704,0.4678744,0.04039083,0.05107814,0.1127161,0.6004717,0,0.02325021,0.1159425,0.01913189,0.1365979,0,0,0,0,0.2898794,0.6048464,0.1463348,0.132001,0,0,0,0,0,0,0,0
57,0,0,0,0,0.01862225,0.0817363,0.02060106,0.03982634,0.07745213,0.2971496,0.4450745,0.4749035,0.03909963,0.04814499,0.1097365,0.5886896,0,0.0227762,0.1119357,0.01850326,0.1282078,0,0,0,0,0.2916982,0.6044879,0.1394703,0.1318766,0,0,0,0,0,0,0,0
58,0,0,0,0,0.01850505,0.08172889,0.02036614,0.03921106,0.07662729,0.2900974,0.4493291,0.4820048,0.03785866,0.04540436,0.1068806,0.5776855,0,0.02231599,0.1081025,0.01789938,0.1203606,0,0,0,0,0.2935978,0.6042632,0.1329886,0.1317642,0,0,0,0,0,0,0,0
59,0,0,0,0,0.0183936,0.08176711,0.02013882,0.03861779,0.0758362,0.2834112,0.4535258,0.4891676,0.03666572,0.04284247,0.1041432,0.5674248,0,0.02186933,0.1044358,0.01731918,0.1130189,0,0,0,0,0.2955724,0.6041387,0.1268626,0.1316595,0,0,0,0,0,0,0,0
60,0,0,0,0,0.0182878,0.08185042,0.01991888,0.03804603,0.07507768,0.2770722,0.4576565,0.4963813,0.0355187,0.0404466,0.101519,0.5578757,0,0.02143588,0.1009281,0.01676163,0.106148,0,0,0,0,0.2976169,0.6040858,0.1210676,0.1315591,0,0,0,0,0,0,0,0
61,0,0,0,0,0.01818756,0.08197831,0.0197061,0.03749505,0.07435063,0.2710626,0.4617129,0.5036347,0.0344156,0.03820499,0.0990032,0.5490082,0,0.02101526,0.0975717,0.01622574,0.09971575,0,0,0,0,0.2997263,0.6040811,0.1155813,0.1314603,0,0,0,0,0,0,0,0
62,0,0,0,0,0.01809278,0.08215026,0.01950028,0.03696403,0.07365396,0.2653657,0.4656869,0.5109165,0.03335452,0.03610676,0.09659111,0.5407946,0,0.02060706,0.09435923,0.01571057,0.09369235,0,0,0,0,0.301896,0.6041055,0.1103833,0.1313614,0,0,0,0,0,0,0,0
63,0,0,0,0,0.01800333,0.08236582,0.01930119,0.03645205,0.07298663,0.2599659,0.4695706,0.5182152,0.03233362,0.03414182,0.09427822,0.5332091,0,0.02021089,0.09128362,0.01521523,0.08805025,0,0,0,0,0.3041218,0.6041434,0.1054548,0.131261,0,0,0,0,0,0,0,0
64,0,0,0,0,0.01791911,0.08262455,0.01910863,0.03595814,0.07234763,0.2548484,0.4733562,0.5255189,0.03135115,0.03230085,0.09206027,0.526228,0,0.01982634,0.08833812,0.01473886,0.08276383,0,0,0,0,0.3063995,0.6041828,0.1007786,0.1311582,0,0,0,0,0,0,0,0
65,0,0,0,0,0.01784001,0.08292609,0.0189224,0.03548136,0.07173598,0.2499993,0.4770364,0.5328153,0.03040545,0.03057522,0.08993314,0.519829,0,0.01945302,0.08551633,0.01428064,0.07780936,0,0,0,0,0.3087252,0.6042144,0.0963389,0.1310525,0,0,0,0,0,0,0,0
66,0,0,0,0,0.01776591,0.08327004,0.01874229,0.03502075,0.07115076,0.2454055,0.4806041,0.5400921,0.02949492,0.02895693,0.08789295,0.5139916,0,0.01909057,0.08281218,0.0138398,0.07316478,0,0,0,0,0.3110951,0.604231,0.09212106,0.1309438,0,0,0,0,0,0,0,0
67,0,0,0,0,0.01769672,0.08365609,0.01856813,0.03457538,0.07059104,0.2410544,0.4840525,0.5473365,0.02861805,0.02743858,0.08593596,0.508697,0,0.01873861,0.08021992,0.01341559,0.06880963,0,0,0,0,0.3135058,0.6042274,0.08811162,0.130832,0,0,0,0,0,0,0,0
