EwEVersion,"6.6.15613.0 (compiled 02/10/2018)"
Date,"02/10/2018 09:42:53"
ModelName,"Tampa Bay"
EcosimScenario,"TampaBay Flabay Nut better fix seagrass"
TimeSeries,(none)
StartYear,0

Data,Biomass

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
21,6.109972E-05,0.004397977,0.08527809,0.04771158,0.01104573,5.584662E-05,0.0009730017,0.005898517,0.0424967,0.16983,2.241101E-05,0.004783647,0.09059784,3.502922E-06,0.000577801,0.03970061,0.0119247,0.1393941,1.119084,3.465132E-07,0.00832036,0.001198901,0.01695563,0.01621617,0.09939481,0.1296968,0.2880026,0.0296345,0.02200456,0.05671465,0.01055081,0.03443774,0.02850098,0.03205837,0.01152212,0.5021191,0.02546717,0.02883898,0.04052295,0.4334316,0.02258837,0.04404257,0.003749244,2.183132,2.201276,0.3046187,0.03124146,3.909274,17.06576,4.058198,13.26854,3.872699
22,6.605034E-05,0.004768605,0.0844914,0.04644632,0.01072404,6.317992E-05,0.001087201,0.006667562,0.04106846,0.1650293,2.442879E-05,0.005324175,0.08760701,3.883839E-06,0.000625786,0.03862728,0.01403995,0.161564,1.128904,3.796304E-07,0.008053453,0.001455939,0.01867625,0.01580799,0.1028226,0.1254937,0.2847159,0.02922555,0.02191167,0.0570433,0.01041185,0.0336014,0.02932356,0.03121051,0.01132758,0.5188246,0.02660659,0.02922413,0.04132817,0.4499485,0.02375281,0.04256426,0.003539268,2.096286,2.324456,0.3429009,0.0399074,3.887952,18.82852,4.522836,14.94974,4.209491
23,7.270256E-05,0.005283,0.08431365,0.04545524,0.01043916,6.998352E-05,0.00126456,0.007239547,0.04012221,0.1607983,2.700118E-05,0.005915915,0.0851891,4.412014E-06,0.0007016879,0.03781294,0.0169077,0.1838674,1.149262,4.214096E-07,0.007826454,0.001814525,0.02089187,0.01542217,0.108164,0.1219303,0.2835543,0.02910939,0.0221139,0.05799575,0.0104267,0.03315906,0.03074975,0.03046216,0.01126352,0.5415177,0.02823601,0.02994128,0.04262369,0.4664507,0.02493439,0.04130772,0.003380525,2.013344,2.489922,0.3933376,0.05386964,3.926605,19.98023,5.075097,16.15584,4.558442
24,7.963102E-05,0.00592077,0.08461561,0.04473254,0.01019338,7.78213E-05,0.001478032,0.007685881,0.03956559,0.1571723,2.973575E-05,0.006539712,0.08335764,5.001987E-06,0.000803522,0.03726551,0.02023853,0.2055252,1.174265,4.641593E-07,0.007640849,0.002258534,0.02351933,0.01506212,0.1150828,0.1189136,0.2842511,0.02929247,0.02261365,0.05958853,0.01059157,0.03308311,0.03273742,0.02982174,0.01132476,0.5675328,0.03013756,0.03092155,0.04432559,0.4830378,0.02611783,0.04026486,0.003268653,1.934345,2.667983,0.4390045,0.07281518,3.99992,20.49414,5.624691,16.77844,4.828177
25,8.588773E-05,0.00661325,0.08529671,0.0442669,0.009986982,8.79873E-05,0.001682321,0.008074204,0.03930385,0.1541602,3.236709E-05,0.007225493,0.0820336,5.615286E-06,0.0009125461,0.03698783,0.02390167,0.2251821,1.201336,5.018471E-07,0.007495315,0.002756416,0.02645352,0.01472996,0.1228049,0.1163362,0.2863729,0.02973247,0.02335144,0.06170448,0.01086892,0.03330238,0.03510321,0.02928988,0.01148464,0.5943292,0.03205367,0.03205328,0.04626866,0.4995984,0.02728205,0.03942484,0.003195979,1.85921,2.835294,0.4733826,0.09577689,4.090717,20.70359,6.186978,17.07946,5.01168
26,9.109455E-05,0.007267798,0.08630577,0.04404446,0.009818774,9.857136E-05,0.001838997,0.008466192,0.03924072,0.1517512,3.490037E-05,0.007981048,0.08113684,6.257672E-06,0.001004183,0.03697367,0.02781715,0.2410323,1.230891,5.302174E-07,0.007386286,0.003278985,0.02958936,0.01442654,0.1306809,0.1141157,0.2895444,0.0303757,0.02425711,0.06418303,0.01121962,0.03375255,0.03767107,0.02886091,0.01171588,0.6204766,0.03383376,0.03324633,0.04830726,0.5158325,0.02840218,0.03877443,0.003154135,1.7878,2.982462,0.4985514,0.1216499,4.191973,20.84454,6.805452,17.27249,5.137157
27,9.501883E-05,0.007780215,0.08760272,0.04404661,0.009686628,0.0001061963,0.001942826,0.008893271,0.03926848,0.149918,3.722241E-05,0.008781464,0.08060337,6.895314E-06,0.001056407,0.03720409,0.03186673,0.2506669,1.26308,5.524671E-07,0.007308638,0.003799627,0.03281568,0.01415182,0.1382714,0.1121777,0.293425,0.03117202,0.02526922,0.06686977,0.01161305,0.03437709,0.04030616,0.0285257,0.01199541,0.6449755,0.03540412,0.03443503,0.05033007,0.5308511,0.02942913,0.0382998,0.003135942,1.719951,3.104157,0.5152342,0.147855,4.29559,20.8001,7.409217,17.26468,5.204492
28,9.860595E-05,0.008117403,0.0891474,0.04425579,0.009588592,0.0001111436,0.002031323,0.009357222,0.03927972,0.1486356,3.95604E-05,0.00960565,0.08038159,7.566297E-06,0.001070491,0.03764197,0.0354869,0.2549607,1.299356,5.727965E-07,0.007257355,0.004321292,0.03606977,0.01390527,0.1453039,0.1104804,0.2977924,0.03207819,0.02633662,0.06963487,0.01202701,0.03513419,0.0429126,0.02827316,0.01230615,0.6676324,0.03674232,0.03557379,0.05225801,0.5445192,0.03034727,0.03798804,0.003135833,1.655486,3.204563,0.5289063,0.1741998,4.404311,20.94284,8.149433,17.39882,5.264611
29,0.0001014938,0.008299455,0.09081146,0.04464795,0.009522237,0.0001138396,0.002125094,0.00985585,0.03915709,0.1478758,4.174498E-05,0.01038266,0.08045413,8.192485E-06,0.001063964,0.03822856,0.03808857,0.25704,1.334565,5.886448E-07,0.007226843,0.00485087,0.0392757,0.01368663,0.1516886,0.1089879,0.3024594,0.03306939,0.02742766,0.07239941,0.01244994,0.03599055,0.04545561,0.02809258,0.01263666,0.6882467,0.03787654,0.03664546,0.05405769,0.5557061,0.03109691,0.03782745,0.003150154,1.594242,3.283816,0.5377862,0.1975507,4.511157,20.83302,8.829237,17.29633,5.286096
30,0.0001039705,0.008394584,0.09245886,0.04520068,0.009485837,0.0001160276,0.002216861,0.0104119,0.03879389,0.1476299,4.378384E-05,0.0110412,0.08082433,8.772699E-06,0.001056303,0.03890979,0.03957751,0.2606781,1.365253,6.016409E-07,0.007212135,0.005407937,0.04239338,0.01349656,0.1571957,0.1076601,0.3072129,0.03410646,0.02849905,0.07507474,0.0128638,0.0368952,0.04785201,0.02797265,0.01297087,0.7064927,0.03877977,0.03761769,0.05567793,0.5641237,0.03165272,0.03780205,0.003175956,1.536033,3.34268,0.5427855,0.2174167,4.614483,20.77939,9.556674,17.22995,5.293641
