EwEVersion,"6.6.15613.0 (compiled 02/10/2018)"
Date,"02/10/2018 09:40:27"
ModelName,"Generic 37"
EcosimScenario,"an example"
TimeSeries,(none)
StartYear,0

Data,Biomass

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
33,0.001000046,0.001975104,0.002912356,0.001012249,0.07552019,0.2254504,0.07518627,0.2641549,0.279595,0.5800238,5.562906,2.74943,0.1089328,0.1270714,0.2684517,0.8836284,7.602804,0.06157947,0.2154988,0.05264105,0.3448662,1.308331,0.5011021,0.201402,0.9953953,0.4261957,2.148068,0.1690469,10.03445,14.89374,0.1191729,2.015207,1.002902,9.960715,15.02233,1.997528,99.99288
34,0.001000093,0.001973429,0.002908906,0.001014157,0.07458206,0.2233312,0.07424998,0.2625913,0.2749736,0.5619406,5.619428,2.780326,0.1057367,0.1202377,0.2608519,0.8558262,7.840112,0.06023651,0.2077006,0.05102357,0.3274685,1.33378,0.5010491,0.2014338,0.9942789,0.4268304,2.148276,0.1622239,9.960429,14.89978,0.1205818,2.016399,0.9999911,9.951604,15.02678,1.99795,100.0091
35,0.001000146,0.001971782,0.002906107,0.001016254,0.07368796,0.2213677,0.07334172,0.2609466,0.2705543,0.5448455,5.678205,2.812968,0.1026595,0.1138389,0.2536048,0.8300453,8.085285,0.0589484,0.2003486,0.04947259,0.3110213,1.359686,0.5009583,0.2014422,0.992971,0.427803,2.146218,0.155864,9.878257,14.90857,0.1219981,2.017605,0.9966882,9.941175,15.03191,1.998477,100.0287
36,0.001000206,0.001970175,0.002904033,0.001018549,0.07283848,0.2195575,0.0724605,0.2592026,0.2663375,0.5286836,5.739077,2.847306,0.09969639,0.1078455,0.2466979,0.8061877,8.337358,0.05771319,0.1934154,0.0479856,0.2954596,1.385909,0.5008247,0.201424,0.9914656,0.4290902,2.141805,0.1499181,9.788568,14.92013,0.1234146,2.018821,0.9929917,9.92943,15.03775,1.999109,100.0516
37,0.001000272,0.001968618,0.002902743,0.001021051,0.07194638,0.2175473,0.07150109,0.2571344,0.2619232,0.5113344,5.800619,2.881988,0.09654931,0.1016119,0.239363,0.7803767,8.595806,0.05639198,0.1859729,0.04641889,0.2790321,1.412353,0.5006437,0.201376,0.9897621,0.4296576,2.132688,0.1429723,9.691869,14.93466,0.1248283,2.020041,0.9889376,9.91643,15.04429,1.999848,100.078
38,0.001000344,0.00196712,0.002902288,0.001023768,0.07110157,0.2156977,0.07057015,0.2549399,0.2577209,0.49496,5.864194,2.918427,0.09352633,0.09580188,0.2323915,0.7565737,8.860057,0.0551266,0.178973,0.04492046,0.2635754,1.438916,0.500411,0.2012952,0.9878633,0.4305571,2.121739,0.1365215,9.589869,14.95214,0.1262356,2.021264,0.9845536,9.902138,15.05155,2.000691,100.1078
39,0.001000423,0.001965694,0.002902713,0.001026708,0.07030423,0.2140096,0.06966732,0.2526066,0.2537279,0.4794984,5.929631,2.956575,0.09062213,0.09038444,0.2257697,0.7346783,9.12896,0.05391485,0.1723857,0.04348758,0.2490207,1.465432,0.5001222,0.2011789,0.9857713,0.4317626,2.109014,0.1305049,9.483411,14.97222,0.1276298,2.022484,0.9798418,9.886607,15.05951,2.001633,100.1413
40,0.001000508,0.001964349,0.002904054,0.001029883,0.06955446,0.2124854,0.06879253,0.2501242,0.249941,0.4648943,5.996753,2.99638,0.08783184,0.08533169,0.2194852,0.7146031,9.401284,0.05275467,0.1661841,0.04211764,0.2353083,1.491727,0.4997737,0.2010248,0.9834923,0.4332508,2.094611,0.1248753,9.373389,14.99459,0.1290045,2.023697,0.9748073,9.869928,15.06818,2.002668,100.1781
41,0.0010006,0.001963096,0.002906339,0.0010333,0.06885221,0.2111284,0.06794586,0.2474849,0.2463565,0.4510974,6.065381,3.037791,0.08515097,0.08061809,0.213526,0.6962706,9.675729,0.05164404,0.1603436,0.04080812,0.2223854,1.517622,0.4993618,0.2008309,0.9810378,0.435001,2.078674,0.1195946,9.26074,15.01898,0.1303533,2.024898,0.9694617,9.852222,15.07752,2.003788,100.2183
42,0.0010007,0.001961946,0.002909585,0.001036969,0.0681552,0.209771,0.06707792,0.2445833,0.2427827,0.4371644,6.134655,3.080046,0.08244821,0.07598566,0.2075479,0.677942,9.951219,0.05051882,0.1544616,0.03949565,0.2095594,1.54296,0.4988836,0.2005955,0.9784241,0.4364725,2.060234,0.1140752,9.14627,15.04522,0.1316717,2.026083,0.9638369,9.83365,15.08746,2.004986,100.2616
